BEA_CODE,YEAR,REL_P_EQ_DEVIATION
334,1950,1.2035357631971497
334,1951,1.2130782340626078
334,1952,1.2157533673598437
334,1953,1.2196404982410882
334,1954,1.2256881141219858
334,1955,1.2194471703847205
334,1956,1.241095125875381
334,1957,1.2472829103786107
334,1958,1.2467129314006202
334,1959,1.2522176405392065
334,1960,1.256831948770473
334,1961,1.2538235568633977
334,1962,1.2506925329053504
334,1963,1.247390267085558
334,1964,1.2426215627688675
334,1965,1.237989973642866
334,1966,1.233847458264237
334,1967,1.231604563277544
334,1968,1.2290923224758519
334,1969,1.2201372725876702
334,1970,1.214106016467347
334,1971,1.1950062763006273
334,1972,1.1735626561989643
334,1973,1.165751153585889
334,1974,1.1439346361286726
334,1975,1.14457132356251
334,1976,1.1295921758441527
334,1977,1.121333432557638
334,1978,1.0943696985781257
334,1979,1.081188222949593
334,1980,1.0656502326454256
334,1981,1.048287568842669
334,1982,1.0333311630403004
334,1983,1.0189063360686486
334,1984,1.0068852807678161
334,1985,1.0024617633226816
334,1986,0.9993424624794275
334,1987,1.0
334,1988,0.9995698078372103
334,1989,0.9974653847249608
334,1990,0.9973728791137253
334,1991,0.9937632592221415
334,1992,0.9828228210704557
334,1993,0.9757106898305461
334,1994,0.977212424882319
334,1995,0.9854139604406721
334,1996,0.9959369059119859
334,1997,1.00816204270397
334,1998,1.0269966407456834
334,1999,1.0426532813306881
334,2000,1.0535040044230959
334,2001,1.0683016156192522
334,2002,1.0770231912102457
334,2003,1.0861567155414258
334,2004,1.0921575920157771
334,2005,1.0847020109948842
334,2006,1.0784543893469591
334,2007,1.0772767525251088
334,2008,1.0724167679277887
334,2009,1.069973377620347
334,2010,1.0724515299448294
334,2011,1.0728640651698682
334,2012,1.071893972270518
334,2013,1.0711198249358154
334,2014,1.0672875506118478
334,2015,1.0607295277584508
334,2016,1.0566877629155442
334,2017,1.0571421132041687
334,2018,1.0533509506623384
334,2019,1.0500743211646333
334,2020,1.0492249760122976
334,2021,1.0408981726729667
334,2022,1.0213040123596429
334,2023,1.0249514868383838
334,2024,1.0310209377242037
335,1947,0.8736187828754295
335,1948,0.8752424031836282
335,1949,0.890282450204805
335,1950,0.9109500683001737
335,1951,0.9315182058442198
335,1952,0.924898118779744
335,1953,0.9282601277263297
335,1954,0.934938471425169
335,1955,0.9464460483026715
335,1956,0.979283886132068
335,1957,0.9884979991370261
335,1958,0.9908057718858228
335,1959,0.9913119657489164
335,1960,0.9960334258329421
335,1961,0.993449743581939
335,1962,0.9950497145560668
335,1963,0.9975036408028578
335,1964,1.0017072723139162
335,1965,1.0085168362051617
335,1966,1.0235560893790232
335,1967,1.0359815963380932
335,1968,1.0462124795378402
335,1969,1.0501921523565072
335,1970,1.0582023766633106
335,1971,1.062434184499724
335,1972,1.0639490016257702
335,1973,1.0655371490401877
335,1974,1.0566653643744226
335,1975,1.0754506780544724
335,1976,1.0765582178265019
335,1977,1.0656779679062311
335,1978,1.0449586507242308
335,1979,1.040282211932612
335,1980,1.0382981864560334
335,1981,1.0292410002709445
335,1982,1.0185687898175793
335,1983,1.0043358436749552
335,1984,0.991858986137257
335,1985,0.9899547872285441
335,1986,0.9912977626671527
335,1987,1.0
335,1988,1.0049955270845226
335,1989,1.006427777427536
335,1990,1.0120178201499634
335,1991,1.0148823703253183
335,1992,1.0105302156636604
335,1993,1.0095137361090747
335,1994,1.0150900985181173
